Ano,País,Gini,TGSa,TIPCGa,TGSb,TIPCGb,Desemprego,Gastos,Pontos,IH10,IL10,pobreza,expobreza,ensbas,ensmed,gastos_pa_primaria,gastos_total,gastos_pa_secundaria,gastos_secundaria,iso2c.1,enssup
2000,Argentina,51.1,43.8641163667409,17.0405501659085,10.814229,3.664102,15,15.74535,418.250700218666,1.8,29.7,1,0.8,NA,NA,14.97726,5.46223020553589,20.6226,39.5394,AR,NA
2001,Argentina,53.3,43.8253146297782,17.977455246801,10.74028,3.674295,17.3199996948242,16.89971,NA,1.8,30.3,1,1,54.7239685058594,NA,15.2222,5.54548978805542,21.59171,40.93612,AR,NA
2002,Argentina,53.8,37.4458707258889,13.0419175281154,9.917029,2.815507,19.5900001525879,15.21159,NA,NA,NA,NA,NA,54.6394691467285,NA,15.64309,5.77611017227173,22.87436,41.33272,AR,NA
2003,Argentina,51.2,34.2513520243592,16.0315549269462,10.884848,3.968937,15.3599996566772,12.85688,NA,1.8,29.9,1.1,0.9,54.382568359375,NA,14.38654,5.36144018173218,21.31954,41.47732,AR,NA
2004,Argentina,48.6,37.1669201630616,18.8897776425385,12.487714,4.856533,13.5220003128052,12.94152,NA,1.8,29.4,1,1,54.9823989868164,NA,14.38084,5.43661022186279,21.62494,41.52728,AR,NA
2005,Argentina,48,37.2332226487939,19.8298881184074,12.514664,5.013047,11.5059995651245,16.11186,NA,1.7,29.7,1.1,1.1,53.3169593811035,NA,14.56387,5.34582996368408,20.75691,40.43839,AR,NA
2006,Argentina,46.7,35.8916892994696,18.6619929052431,12.769034,4.855908,10.0769996643066,16.7607,382.0738615176563,1.7,31,1.1,1.1,52.2123908996582,NA,14.20816,5.29062986373901,20.64525,40.47189,AR,NA
2007,Argentina,46.6,33.9285658927465,14.2354844249788,13.271193,4.930508,8.47000026702881,17.83472,NA,1.3,32,2.5,2.8,51.2602386474609,NA,13.68048,5.01971006393433,19.26875,39.64997,AR,NA
2008,Argentina,45.3,31.6769745703794,13.0827459285192,13.343357,4.75991,7.83699989318848,19.1992,NA,1.3,31.4,2.7,3,50.3038787841797,NA,14.80287,5.53105020523071,22.23454,40.77314,AR,NA
2009,Argentina,44.1,29.4587083664878,11.3574525723476,13.880472,4.558493,8.64500045776367,22.23454,395.72250949723394,1.3,32.5,3,3.3,49.582878112793,NA,13.70256,4.84440994262695,19.1992,39.19364,AR,NA
2010,Argentina,44.5,28.603677016809,11.5611927566893,13.778734,4.719621,7.71400022506714,19.26875,NA,1.3,33.8,3.1,3.3,NA,NA,12.6881,4.46260023117065,17.83472,39.24554,AR,NA
2011,Argentina,42.7,29.6538870401866,13.0207437952904,13.911837,5.053549,7.17999982833862,20.64525,NA,1.2,33.8,3.7,3.9,47.064811706543,NA,11.53286,4.12821006774902,16.7607,40.02116,AR,NA
2012,Argentina,41.4,29.5741968351551,13.1251461222574,14.560084,5.311314,7.21700000762939,20.75691,396.68094588592334,1.2,35,4.3,4.8,NA,NA,10.53523,3.86000990867615,16.11186,41.68709,AR,NA
2013,Argentina,41,29.1654831374073,13.4674417329858,15.224487,5.545733,7.09999990463257,21.62494,NA,1.1,35.3,5.4,6.4,NA,NA,10.00318,3.48652005195618,12.94152,37.79909,AR,NA
2014,Argentina,41.7,27.5945343597424,13.8493099484698,14.988525,5.892197,7.26800012588501,21.31954,NA,1,37.8,7.2,8.4,56.3756790161133,42.1566314697266,10.47639,3.53504991531372,12.85688,37.2599,AR,42.1566314697266
2015,Argentina,NA,28.0000349566416,15.157971390293,15.151146,6.457902,7.75,22.87436,422.18756508039297,0.9,40.5,13.8,16.9,NA,NA,10.75649,4.01734018325806,15.21159,39.24177,AR,NA
2016,Argentina,42,27.2416115086503,12.3798741053662,14.797487,5.310146,7.97700023651123,21.59171,NA,0.7,39.5,9.5,10.7,45.8916893005371,34.2933502197266,13.80064,4.833740234375,16.89971,36.62538,AR,34.2933502197266
2017,Argentina,41.2,30.2522655088489,12.9299128513563,15.261621,5.258498,8.34700012207031,20.6226,NA,0.9,37.7,6.4,6.8,NA,NA,12.2987,4.58030986785889,15.74535,35.70325,AR,NA
2000,Brazil,NA,39.8031528662972,25.1495141611779,14.523126,5.726736,9.89500045776367,NA,396.029083741416,1,42,3.7,4.4,59.1219291687012,46.1742515563965,NA,6.32254981994629,NA,NA,BR,46.1742515563965
2001,Brazil,58.4,40.5206635749473,25.2642058642312,15.155855,6.015155,9.60999965667725,NA,NA,1.1,42.1,3.3,3.9,58.2031097412109,45.1083183288574,NA,6.314040184021,NA,NA,BR,45.1083183288574
2002,Brazil,58.1,40.6483488952233,28.3970827151448,15.533197,6.317538,9.37100028991699,10.14512,NA,1.2,40.9,2.8,3.2,57.5709915161133,43.7763481140137,20.05496,6.24105978012085,21.52655,41.3708,BR,43.7763481140137
