"","iso2c","País","Gini","Ano","ensbas","ensmed","iso2c.1","country","SI.DST.FRST.10","year","iso2c.2","country.1","SI.DST.10TH.10","year.1"
"1","AR","Argentina",41.2,2017,NA,NA,"AR","Argentina",1.8,2017,"AR","Argentina",29.7,2017
"2","AR","Argentina",42,2016,54.7239685058594,NA,"AR","Argentina",1.8,2016,"AR","Argentina",30.3,2016
"3","AR","Argentina",NA,2015,54.6394691467285,NA,"AR","Argentina",NA,2015,"AR","Argentina",NA,2015
"4","AR","Argentina",41.7,2014,54.382568359375,NA,"AR","Argentina",1.8,2014,"AR","Argentina",29.9,2014
"5","AR","Argentina",41,2013,54.9823989868164,NA,"AR","Argentina",1.8,2013,"AR","Argentina",29.4,2013
"6","AR","Argentina",41.4,2012,53.3169593811035,NA,"AR","Argentina",1.7,2012,"AR","Argentina",29.7,2012
"7","AR","Argentina",42.7,2011,52.2123908996582,NA,"AR","Argentina",1.7,2011,"AR","Argentina",31,2011
"8","AR","Argentina",44.5,2010,51.2602386474609,NA,"AR","Argentina",1.3,2010,"AR","Argentina",32,2010
"9","AR","Argentina",44.1,2009,50.3038787841797,NA,"AR","Argentina",1.3,2009,"AR","Argentina",31.4,2009
"10","AR","Argentina",45.3,2008,49.582878112793,NA,"AR","Argentina",1.3,2008,"AR","Argentina",32.5,2008
"11","AR","Argentina",46.6,2007,NA,NA,"AR","Argentina",1.3,2007,"AR","Argentina",33.8,2007
"12","AR","Argentina",46.7,2006,47.064811706543,NA,"AR","Argentina",1.2,2006,"AR","Argentina",33.8,2006
"13","AR","Argentina",48,2005,NA,NA,"AR","Argentina",1.2,2005,"AR","Argentina",35,2005
"14","AR","Argentina",48.6,2004,NA,NA,"AR","Argentina",1.1,2004,"AR","Argentina",35.3,2004
"15","AR","Argentina",51.2,2003,56.3756790161133,42.1566314697266,"AR","Argentina",1,2003,"AR","Argentina",37.8,2003
